Уникальный ID записи,ID причала,Название причала,Название судна - отсутсвует если отменено,Название маршрута ,Швартовочное место,Дата начала действия записи расписания в UTC,Дата окончания действиязаписи  расписания в UTC,Время подхода судна в минутах от начала суток,Время отхода судна в минутах от начала суток,Время стоянки,Название судна которое было отменено,"Тип записи - пустое знеачение если изменений нет, Отмена - судно отменено",Дата начала действия записи расписания ,Дата окончания действия записи расписания,Причаливание/подход,Отход
id,dock.id,dock.name,ship.name,route.nameroute,position.berth_letter,timetable.startdate,timetable.enddate,timetable.starttime,timetable.endtime,timetable.duration,changed_schedule.ship_name,changed_schedule.type,Начало расписания,Окончание расписания,Причаливание,Отход
1093216,45,Воробьевы горы,Алина Браво,Северный 1А,A,1719954000,1731790800,1,5,4,,,7/3/2024,11/17/2024,12:01:00 AM,12:05:00 AM
1094166,32,Нескучный сад,М-250,Исторический,C,1719954000,1731790800,1,5,4,,,7/3/2024,11/17/2024,12:01:00 AM,12:05:00 AM
1094538,32,Нескучный сад,Москва-24,Северный,B,1719954000,1731790800,1,4,3,,,7/3/2024,11/17/2024,12:01:00 AM,12:04:00 AM
1096121,45,Воробьевы горы,,Северный 1А,A,1719954000,1719954000,1,5,4,Алина Браво,Отмена,7/3/2024,7/3/2024,12:01:00 AM,12:05:00 AM
1096896,32,Нескучный сад,,Исторический,C,1719954000,1719954000,1,5,4,М-250,Отмена,7/3/2024,7/3/2024,12:01:00 AM,12:05:00 AM
1097330,32,Нескучный сад,,Северный,B,1719954000,1719954000,1,4,3,Москва-24,Отмена,7/3/2024,7/3/2024,12:01:00 AM,12:04:00 AM
1094264,45,Воробьевы горы,Снегири-3,Исторический,B,1719954000,1731790800,2,12,10,,,7/3/2024,11/17/2024,12:02:00 AM,12:12:00 AM
1097835,45,Воробьевы горы,,Исторический,B,1719954000,1719954000,2,12,10,Снегири-3,Отмена,7/3/2024,7/3/2024,12:02:00 AM,12:12:00 AM
1094148,47,Красный октябрь,Москва-28,Исторический,A,1719954000,1731790800,4,8,4,,,7/3/2024,11/17/2024,12:04:00 AM,12:08:00 AM
1094432,32,Нескучный сад,Москва-46,Северный,A,1719954000,1731790800,4,8,4,,,7/3/2024,11/17/2024,12:04:00 AM,12:08:00 AM
1096884,47,Красный октябрь,,Исторический,A,1719954000,1719954000,4,8,4,Москва-28,Отмена,7/3/2024,7/3/2024,12:04:00 AM,12:08:00 AM
1097187,32,Нескучный сад,,Северный,A,1719954000,1719954000,4,8,4,Москва-46,Отмена,7/3/2024,7/3/2024,12:04:00 AM,12:08:00 AM
1092064,46,Киевский,Фортуна,Северный,A,1719867600,1731790800,5,15,7,,,7/2/2024,11/17/2024,12:05:00 AM,12:15:00 AM
1092124,50,Китай-город,Удача,Северный 1А,C,1719867600,1731790800,5,15,7,,,7/2/2024,11/17/2024,12:05:00 AM,12:15:00 AM
1092134,32,Нескучный сад,Романтика,Северный 1А,B,1719867600,1731790800,8,11,3,,,7/2/2024,11/17/2024,12:08:00 AM,12:11:00 AM
1094960,45,Воробьевы горы,Снегири-2,Северный,A,1719954000,1731790800,9,13,4,,,7/3/2024,11/17/2024,12:09:00 AM,12:13:00 AM
1097735,45,Воробьевы горы,,Северный,A,1719954000,1719954000,9,13,4,Снегири-2,Отмена,7/3/2024,7/3/2024,12:09:00 AM,12:13:00 AM
922133,33,Крымский мост,Морис,Разовый подход,B,1715288400,1731790800,10,20,10,,,5/10/2024,11/17/2024,12:10:00 AM,12:20:00 AM
1092098,32,Нескучный сад,Счастье,Северный 1А,A,1719867600,1731790800,11,15,4,,,7/2/2024,11/17/2024,12:11:00 AM,12:15:00 AM
1093374,46,Киевский,Рио,Северный 1А,B,1719954000,1731790800,12,22,10,,,7/3/2024,11/17/2024,12:12:00 AM,12:22:00 AM
1096305,46,Киевский,,Северный 1А,B,1719954000,1719954000,12,22,10,Рио,Отмена,7/3/2024,7/3/2024,12:12:00 AM,12:22:00 AM
1091521,50,Китай-город,Снегири-4,Северный,B,1719867600,1731790800,13,23,10,,,7/2/2024,11/17/2024,12:13:00 AM,12:23:00 AM
1094142,49,Новоспасский,Полковник Новгородов,Исторический,B,1719954000,1731790800,14,17,3,,,7/3/2024,11/17/2024,12:14:00 AM,12:17:00 AM
1096759,49,Новоспасский,,Исторический,B,1719954000,1719954000,14,17,3,Полковник Новгородов,Отмена,7/3/2024,7/3/2024,12:14:00 AM,12:17:00 AM
843837,32,Нескучный сад,Чижик-II,Исторический,C,1725138000,1725138000,16,20,4,,,9/1/2024,9/1/2024,12:16:00 AM,12:20:00 AM
843838,32,Нескучный сад,,Исторический,C,1725224400,1725224400,16,20,4,,,9/2/2024,9/2/2024,12:16:00 AM,12:20:00 AM
843839,32,Нескучный сад,Чижик-II,Исторический,C,1725310800,1731790800,16,20,4,,,9/3/2024,11/17/2024,12:16:00 AM,12:20:00 AM
843899,32,Нескучный сад,,Исторический,C,1725310800,1725742800,16,20,4,Чижик-II,Отмена,9/3/2024,9/8/2024,12:16:00 AM,12:20:00 AM
843971,32,Нескучный сад,,Исторический,C,1725915600,1726347600,16,20,4,Чижик-II,Отмена,9/10/2024,9/15/2024,12:16:00 AM,12:20:00 AM
844061,32,Нескучный сад,,Исторический,C,1726520400,1726952400,16,20,4,Чижик-II,Отмена,9/17/2024,9/22/2024,12:16:00 AM,12:20:00 AM
844133,32,Нескучный сад,,Исторический,C,1727125200,1727557200,16,20,4,Чижик-II,Отмена,9/24/2024,9/29/2024,12:16:00 AM,12:20:00 AM
844205,32,Нескучный сад,,Исторический,C,1727730000,1727989200,16,20,4,Чижик-II,Отмена,10/1/2024,10/4/2024,12:16:00 AM,12:20:00 AM
844291,32,Нескучный сад,,Исторический,C,1728075600,1728162000,16,20,4,Чижик-II,Отмена,10/5/2024,10/6/2024,12:16:00 AM,12:20:00 AM
844341,32,Нескучный сад,,Исторический,C,1728248400,1728594000,16,20,4,Чижик-II,Отмена,10/7/2024,10/11/2024,12:16:00 AM,12:20:00 AM
844425,32,Нескучный сад,,Исторический,C,1728680400,1728766800,16,20,4,Чижик-II,Отмена,10/12/2024,10/13/2024,12:16:00 AM,12:20:00 AM
844473,32,Нескучный сад,,Исторический,C,1728853200,1729198800,16,20,4,Чижик-II,Отмена,10/14/2024,10/18/2024,12:16:00 AM,12:20:00 AM
844557,32,Нескучный сад,,Исторический,C,1729285200,1729371600,16,20,4,Чижик-II,Отмена,10/19/2024,10/20/2024,12:16:00 AM,12:20:00 AM
844605,32,Нескучный сад,,Исторический,C,1729458000,1729803600,16,20,4,Чижик-II,Отмена,10/21/2024,10/25/2024,12:16:00 AM,12:20:00 AM
844689,32,Нескучный сад,,Исторический,C,1729890000,1729976400,16,20,4,Чижик-II,Отмена,10/26/2024,10/27/2024,12:16:00 AM,12:20:00 AM
844737,32,Нескучный сад,,Исторический,C,1730062800,1730322000,16,20,4,Чижик-II,Отмена,10/28/2024,10/31/2024,12:16:00 AM,12:20:00 AM
846252,32,Нескучный сад,,Исторический,C,1720386000,1720904400,16,20,4,,,7/8/2024,7/14/2024,12:16:00 AM,12:20:00 AM
846324,32,Нескучный сад,,Исторический,C,1720990800,1721509200,16,20,4,,,7/15/2024,7/21/2024,12:16:00 AM,12:20:00 AM
846396,32,Нескучный сад,,Исторический,C,1721595600,1722114000,16,20,4,,,7/22/2024,7/28/2024,12:16:00 AM,12:20:00 AM
846468,32,Нескучный сад,,Исторический,C,1722200400,1722373200,16,20,4,,,7/29/2024,7/31/2024,12:16:00 AM,12:20:00 AM
846469,32,Нескучный сад,Чижик-II,Исторический,C,1722459600,1725051600,16,20,4,,,8/1/2024,8/31/2024,12:16:00 AM,12:20:00 AM
846540,32,Нескучный сад,,Исторический,C,1722459600,1722718800,16,20,4,Чижик-II,Отмена,8/1/2024,8/4/2024,12:16:00 AM,12:20:00 AM
846579,32,Нескучный сад,,Исторический,C,1722805200,1725051600,16,20,4,,,8/5/2024,8/31/2024,12:16:00 AM,12:20:00 AM
846585,32,Нескучный сад,,Исторический,C,1725138000,1725138000,16,20,4,Чижик-II,Отмена,9/1/2024,9/1/2024,12:16:00 AM,12:20:00 AM
846591,32,Нескучный сад,,Исторический,C,1725829200,1725829200,16,20,4,,,9/9/2024,9/9/2024,12:16:00 AM,12:20:00 AM
846651,32,Нескучный сад,,Исторический,C,1726434000,1726434000,16,20,4,,,9/16/2024,9/16/2024,12:16:00 AM,12:20:00 AM
846711,32,Нескучный сад,,Исторический,C,1727038800,1727038800,16,20,4,,,9/23/2024,9/23/2024,12:16:00 AM,12:20:00 AM
846771,32,Нескучный сад,,Исторический,C,1727643600,1727643600,16,20,4,,,9/30/2024,9/30/2024,12:16:00 AM,12:20:00 AM
846960,32,Нескучный сад,Олимпиада,Исторический,C,1719954000,1719954000,16,20,4,,,7/3/2024,7/3/2024,12:16:00 AM,12:20:00 AM
847068,32,Нескучный сад,Олимпиада,Исторический,C,1720558800,1720558800,16,20,4,,,7/10/2024,7/10/2024,12:16:00 AM,12:20:00 AM
847176,32,Нескучный сад,Олимпиада,Исторический,C,1721163600,1721163600,16,20,4,,,7/17/2024,7/17/2024,12:16:00 AM,12:20:00 AM
847284,32,Нескучный сад,Олимпиада,Исторический,C,1721768400,1721768400,16,20,4,,,7/24/2024,7/24/2024,12:16:00 AM,12:20:00 AM
847359,32,Нескучный сад,Олимпиада,Исторический,C,1722373200,1722373200,16,20,4,,,7/31/2024,7/31/2024,12:16:00 AM,12:20:00 AM
