ID причала,Название причала,Адрес причала,Река,координаты точки причала,координаты точки причала
Docs.id,Docs.name,Docs.address,Docs.river,Docs.latitude,Docs.longitude
31,Парк Горького,Пушкинская набережная,Москва,"37,597184","55,73013"
32,Нескучный сад,"г. Москва, Вверх по течению о.Москва от Крымского моста со стороны ЦПКиО им.Горького, сход-трибуна Пушкинской набережной",Москва,"37,590694","55,722427"
33,Крымский мост,Фрунзенская набережная напротив д.10,Москва,"37,596061","55,732427"
39,Марьино,"Батайский проезд, д.33",Москва,"37,725065","55,641785"
41,Печатники,"ул.Гурьянова, д.35",Москва,"37,714149","55,683699"
42,Меловой,"Нагатинская набережная, владение 74",Москва,"37,696817","55,69106"
43,Южный речной вокзал,"г. Москва, левый берег р. Москва 1,7-2,2 км. (Нагатинское спрямление)",Москва,"37,675846","55,689415"
44,Кленовый бульвар,"г. Москва, Нагатинвская набережная, напротив д.40А",Москва,"37,67215","55,686457"
45,Воробьевы горы,ул.Косыгина 28с23,Москва,"37,546826","55,711738"
46,Киевский,"г. Москва, Бережковская, между Бородинским и Краснолужском ж/д мостом",Москва,"37,571839","55,743672"
47,Красный октябрь,"г. Москва, Берсеневская набережная, у дома 2 корпус 1",Москва,"37,610627","55,745129"
48,Сити – Экспоцентр,"г. Москва, Краснопресненская набережная, напротив д.14",Москва,"37,546796","55,748745"
49,Новоспасский,г. Москва по течению р. Москва от Новоспасского моста со стороны Краснохолмской набережной,Москва,"37,653392","55,730281"
50,Китай-город,Москворецкая набережная д.7,Москва,"37,635886","55,748462"
51,Патриарший,"г. Москва, набережная Пречистенская (Кропоткинская)",Москва,"37,608138","55,743972"
54,Лужники – Северный,"г. Москва, Лужнецкая Западная набережная",Москва,"37,545615","55,726423"
55,Третьяковский,"Болотная набережная д.14, стр.6",Москва,"37,618414","55,744502"
56,Кутузовский,Набережная Тараса Шевченко 29,Москва,"37,538187","55,744387"
57,Троице-Лыково,"ул.Одинцовская д.28, стр.1",Москва,"37,409289","55,79192"
60,Парк Фили,"г. Москва, Крылатская набережная",Москва,"37,475581","55,749486"
61,Захарково,"г. Москва, берегоукрепление Химкинское-2, проезд Досфлота напротив д.16, корп.1",Канал им. Москвы,"37,459077","55,849065"
62,Трёхгорный,"Краснопресненская набережная, 10, корп. 7",Москва,"37,56394","55,754254"
64,Сити – Багратион,"г. Москва, набережная Тараса Шевченко у дома 23",Москва,"37,545233","55,746481"
67,Лужники - Центральный,"г. Москва, Центральная Лужнецкая набережная",Москва,"37,549501","55,713129"
71,Северный речной вокзал,"Ленинградское шоссе, д.51",Канал им. Москвы,"37,466138","55,851125"
72,Андреевский,"Андреевская набережная д.2, стр.7",Москва,"37,572238","55,711646"
73,Зарядье,"г. Москва, Москворецкая набережная, парк Зарядье",Москва,"37,629242","55,749528"
75,Серебряный бор-2,"г. Москва, Серебряный бор, ул. Таманская напротив д. 91А, стр. 1",Москва,"37,424496","55,785823"
93,Серебряный бор-3,"г. Москва, Серебряный Бор, лит.1",Москва,"37,444882","55,785127"
97,Сити – Центральный,"Пресненская наб., 12",Москва,"37,541693","55,746589"
146,Автозаводский мост,"	Новоданиловская набережная, 2к1	 ",Москва,"37,626632","55,702836"
167,Химки,"МО, Химки,напротив ул. Ватутина, д. 4, к. 2",Москва,"37,458891","55,886542"
172,Сердце Столицы,"Шелепихинская набережная, 26",Москва,"37,51224589","55,76049721"
187,ЗИЛ,"г. Москва, ул. Нов. Башиловка, д. 3",Москва,"37,628875","55,6999347"
188,Нагатинский затон,"Нагатинская набережная, 34",Москва,"37,701144","55,685878"
192,Береговой,"Береговой проезд, 1А",Москва,"37,512611","55,758389"
